Police_Station	LongitudeY	LatitudeX
KAKAMAS	-28.77074	20.61854
KAMEELDRIFT	-25.65062	28.30718
KAMESH	-33.75313	25.38562
KAMIESKROON	-30.21307	17.93159
KANANA	-26.95975	26.64038
KANONEILAND	-28.65236	21.08695
KANYAMAZANE	-25.46503	31.18394
KAREEDOUW	-33.95386	24.29433
KATHU	-27.69892	23.04492
KATKOP	-30.88541	28.51182
KATLEHONG	-26.3619	28.1571
KATLEHONG NORTH	-26.314697	28.1567666
KEI BRIDGE	-32.50557	27.97953
KEI MOUTH	-32.6788	28.37477
KEI ROAD	-32.70575	27.54653
KEIMOES	-28.70806	20.97055
KEISKAMMAHOEK	-32.68017	27.14546
KEMPTON PARK	-26.10141	28.23211
KENHARDT	-29.3466	21.15192
KENSINGTON	-33.90953	18.51064
KENTON ON SEA	-33.68053	26.66674
KESTELL	-28.31452	28.70516
KGOMOTSO	-27.98218	24.61279
KHAYELITSHA	-34.02464	18.66599
Khubusidrift	-32.56819	27.62384
KHUMA	-26.85147	26.84686
KHUTSONG	-26.34301	27.33051
KIDDS BEACH	-33.14929	27.69525
KIMBERLEY	-28.73487	24.7632
King William Town	-32.87139	27.39139
KINGSLEY	-27.93065	30.53045
KINKELBOS	-33.64669	25.87827
KINROSS	-26.4154	29.08508
KIRKWOOD	-33.39892	25.44409
KIRSTENHOF	-34.07219	18.45524
KLAPMUTS	-33.80679	18.86272
KLAWER	-31.77222	18.62512
KLEINBULHOEK	-32.16655	26.575
KLEINMOND	-34.33963	19.03232
KLEINSEE	-29.66193	17.07984
KLEINVLEI	-33.9882	18.71879
KLERKSDORP	-26.86353	26.66311
KLERKSKRAAL	-26.25175	27.16339
KLIPGAT	-25.47304	27.98434
KLIPPLAAT	-33.02179	24.33284
KLIPRIVIER	-26.42027	28.08452
KLIPTOWN	-26.28229	27.88838
KNYSNA	-34.03629	23.05145
KOFFIEFONTEIN	-29.40948	25.00308
KOKSTAD	-30.55093	29.42536
KOLOMANE	-32.42247	26.78883
KOMAGGAS	-29.79486	17.48749
KOMATIPOORT	-25.4362	31.95774
KOMGA	-32.57532	27.89203
KOMMISSIEPOORT	-29.32488	27.28657
KOPANONG	-29.18644	26.25326
KOPPIES	-27.24265	27.57533
KOSTER	-25.86502	26.89748
KRAAIFONTEIN	-33.857	18.7273
KRANSKOP	-28.96604	30.86405
KRIEL	-26.25064	29.26061
KROONSTAD	-27.66893	27.23468
KRUGERSDORP	-26.0994	27.766
KUILSRIVIER	-33.93231	18.6825
KURUMAN	-27.45901	23.43229
KUYASA	-30.71908	25.10707
KWA THEMA	-26.27889	28.39438
KWAAIMAN	-31.9192	28.97806
KWADABEKA	-29.77619	30.89295
KWADUKUZA	-29.34719	31.2843
KWADWESI	-33.84109	25.52347
KWAGGAFONTEIN	-25.30942	28.94768
KWAMAKHUTHA	-30.0253	30.86804
KWAMASHU E	-29.73592	31.00027
KWAMBONAMBI	-28.5988	32.0859
KWAMHLANGA	-25.43404	28.71577
KWAMSANE	-28.42857	32.1479
KWANDENGANE	-31.054979	29.75814
KWANDENGEZI	-29.85093	30.76895
KWANOBUHLE	-33.81395	25.39782
KWANOKUTHULA	-34.05359	23.32062
KWANONQABA	-34.17612	22.09112
KWAZAKELE	-33.87626	25.58308
LAAIPLEK	-32.77115	18.15646
LADISMITH	-33.49487	21.2683
LADY FRERE	-31.70148	27.23649
LADY GREY	-30.71202	27.20923
LADYBRAND	-29.19591	27.4568
LADYSMITH	-28.56124	29.77862
LAERSDRIFT	-25.36766	29.85622
